iter	Passed	Remaining
465	711	815
466	712	813
467	713	811
468	714	809
469	715	807
470	716	805
471	717	802
472	718	800
473	719	798
474	720	796
475	721	794
476	722	791
477	722	789
478	723	787
479	724	785
480	725	782
481	726	780
482	727	778
483	728	776
484	729	774
485	730	772
486	731	770
487	732	768
488	733	766
489	734	764
490	735	762
491	736	760
492	737	757
493	737	755
494	738	753
495	739	751
496	740	749
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
508	751	724
509	752	722
510	753	721
511	755	719
512	756	718
513	759	717
514	762	717
515	763	716
516	765	714
517	766	713
518	767	711
519	768	709
520	769	707
521	770	705
522	771	703
523	772	702
524	774	700
525	776	699
526	777	697
527	779	696
528	780	694
529	781	692
530	782	690
531	783	688
532	783	686
533	784	684
534	785	682
535	786	680
536	787	678
537	787	676
538	788	674
539	789	672
540	790	670
541	791	668
542	792	666
543	793	665
544	794	663
545	795	661
546	796	659
547	796	657
548	797	655
549	798	653
550	799	651
551	800	649
552	801	647
553	801	645
554	802	643
555	803	641
556	804	639
557	805	637
558	806	636
559	807	634
560	808	632
561	809	630
562	809	628
563	810	626
564	811	624
565	812	622
566	812	620
567	813	618
568	814	617
569	815	615
570	816	613
571	817	611
572	817	609
573	818	607
574	819	605
575	820	604
576	821	602
577	822	600
578	823	599
579	824	597
580	825	595
581	826	593
582	827	591
583	827	589
584	828	587
585	829	586
586	830	584
587	831	582
588	832	580
589	832	578
590	833	576
591	834	575
592	835	573
593	836	571
594	837	570
595	838	568
596	839	566
597	840	565
598	841	563
599	842	561
600	843	559
601	844	558
602	845	556
603	846	554
604	846	552
605	847	551
606	848	549
607	849	547
608	850	546
609	851	544
610	853	543
611	854	541
612	855	539
613	855	538
614	856	536
615	857	534
616	858	532
617	859	531
618	860	529
619	861	527
620	861	526
621	862	524
622	863	522
623	864	520
624	865	519
625	866	517
626	867	516
627	869	514
628	870	513
629	871	511
630	872	510
631	873	508
632	874	506
633	875	505
634	876	503
635	877	501
636	877	500
637	878	498
638	880	497
639	881	495
640	882	494
641	883	492
642	884	491
643	885	489
644	887	488
645	888	486
646	889	485
647	889	483
648	890	481
649	891	480
650	892	478
651	893	476
652	894	475
653	895	473
654	896	472
655	897	470
656	898	469
657	899	467
658	900	466
659	901	464
660	902	463
661	904	461
662	905	460
663	906	458
664	907	457
665	908	455
666	909	454
667	910	452
668	912	451
669	913	449
670	914	448
671	916	447
672	917	445
673	918	444
674	918	442
675	919	440
676	920	439
677	921	437
678	922	436
679	924	434
680	925	433
681	926	432
682	928	431
683	930	429
684	931	428
685	933	427
686	934	425
687	935	424
688	936	422
689	937	421
690	938	419
691	939	418
692	940	416
693	941	415
694	942	413
695	943	412
696	944	410
697	945	409
698	947	407
699	948	406
700	949	404
701	949	403
702	950	401
703	951	400
704	952	398
705	953	396
706	954	395
707	955	393
708	956	392
709	957	391
710	959	389
711	960	388
712	961	386
713	962	385
714	963	384
715	964	382
716	965	381
717	966	379
718	967	378
719	969	376
720	970	375
721	971	374
722	973	372
723	974	371
724	975	369
725	976	368
726	977	367
727	978	365
728	979	364
729	980	362
730	981	361
731	982	359
732	983	358
733	984	356
734	985	355
735	987	354
736	988	352
737	989	351
738	991	350
739	992	348
740	993	347
741	994	345
742	995	344
743	997	343
744	998	341
745	999	340
746	1000	338
747	1001	337
748	1003	336
749	1004	334
750	1005	333
751	1007	332
752	1008	330
753	1009	329
754	1010	327
755	1011	326
756	1012	325
757	1013	323
758	1014	322
759	1015	320
760	1017	319
761	1018	318
762	1019	316
763	1020	315
764	1022	314
765	1023	312
766	1024	311
767	1025	309
768	1026	308
769	1027	306
770	1028	305
771	1029	304
772	1031	302
773	1032	301
774	1033	300
775	1034	298
776	1035	297
777	1036	295
778	1037	294
779	1038	292
780	1039	291
781	1040	290
782	1041	288
783	1042	287
784	1042	285
785	1043	284
786	1044	282
787	1045	281
788	1046	279
789	1047	278
790	1048	276
791	1049	275
792	1050	274
793	1051	272
794	1051	271
795	1052	269
796	1053	268
797	1054	266
798	1055	265
799	1056	264
800	1057	262
801	1058	261
802	1059	259
803	1060	258
804	1062	257
805	1063	256
806	1064	254
807	1066	253
808	1068	252
809	1070	251
810	1071	249
811	1072	248
812	1074	247
813	1075	245
814	1076	244
815	1078	243
816	1079	241
817	1080	240
818	1081	239
819	1082	237
820	1083	236
821	1084	234
822	1085	233
823	1086	232
824	1086	230
825	1087	229
826	1088	227
827	1089	226
828	1090	224
829	1091	223
830	1092	222
831	1093	220
832	1094	219
833	1095	217
834	1096	216
835	1097	215
836	1097	213
837	1098	212
838	1099	210
839	1100	209
840	1101	208
841	1101	206
842	1102	205
843	1103	203
844	1104	202
845	1104	201
846	1105	199
847	1107	198
848	1108	197
849	1108	195
850	1109	194
851	1110	192
852	1112	191
853	1112	190
854	1113	188
855	1114	187
856	1115	186
857	1115	184
858	1116	183
859	1117	181
860	1117	180
861	1118	179
862	1119	177
863	1120	176
864	1121	175
865	1122	173
866	1123	172
867	1124	171
868	1125	169
869	1126	168
870	1127	166
871	1128	165
872	1128	164
873	1129	162
874	1130	161
875	1130	160
876	1131	158
877	1132	157
878	1133	155
879	1133	154
880	1134	153
881	1135	151
882	1136	150
883	1137	149
884	1138	147
885	1139	146
886	1140	145
887	1140	143
888	1141	142
889	1142	141
890	1143	139
891	1144	138
892	1144	137
893	1145	135
894	1146	134
895	1147	133
896	1147	131
897	1148	130
898	1149	129
899	1150	127
900	1150	126
901	1151	125
902	1153	123
903	1154	122
904	1155	121
905	1156	119
906	1157	118
907	1157	117
908	1158	115
909	1159	114
910	1160	113
911	1160	112
912	1161	110
913	1162	109
914	1163	108
915	1163	106
916	1164	105
917	1165	104
918	1166	102
919	1167	101
920	1168	100
921	1169	98
922	1170	97
923	1171	96
924	1171	95
925	1172	93
926	1173	92
927	1174	91
928	1174	89
929	1175	88
930	1176	87
931	1177	85
932	1177	84
933	1178	83
934	1179	81
935	1180	80
936	1181	79
937	1182	78
938	1183	76
939	1184	75
940	1185	74
941	1185	73
942	1186	71
943	1187	70
944	1188	69
945	1188	67
946	1189	66
947	1190	65
948	1191	64
949	1191	62
950	1192	61
951	1193	60
952	1194	58
953	1195	57
954	1195	56
955	1196	55
956	1198	53
957	1198	52
958	1199	51
959	1200	50
960	1201	48
961	1202	47
962	1204	46
963	1205	45
964	1206	43
965	1207	42
966	1207	41
967	1208	39
968	1209	38
969	1210	37
970	1211	36
971	1213	34
972	1215	33
973	1216	32
974	1217	31
975	1217	29
976	1219	28
977	1220	27
978	1220	26
979	1221	24
980	1222	23
981	1224	22
982	1225	21
983	1226	19
984	1227	18
985	1229	17
986	1230	16
987	1231	14
988	1232	13
989	1233	12
990	1234	11
991	1235	9
992	1236	8
993	1237	7
994	1238	6
995	1239	4
996	1240	3
997	1241	2
998	1242	1
999	1243	0
